t,x,y,theta,rho,vx,vy,w,wp_idx,ideal_x,ideal_y,reached
3.243,-0.3567,-1.0000,-0.0000,0.3567,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.263,-0.3508,-1.0000,-0.0000,0.3508,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.283,-0.3508,-1.0000,-0.0000,0.3508,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.303,-0.3508,-1.0000,-0.0000,0.3508,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.323,-0.3449,-1.0000,-0.0000,0.3449,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.343,-0.3405,-1.0000,-0.0000,0.3405,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.364,-0.3405,-1.0000,-0.0000,0.3405,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.383,-0.3390,-1.0000,-0.0000,0.3390,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.403,-0.3390,-1.0000,-0.0000,0.3390,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.423,-0.3390,-1.0000,-0.0000,0.3390,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.444,-0.3390,-1.0000,-0.0000,0.3390,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.463,-0.3390,-1.0000,-0.0000,0.3390,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.485,-0.3390,-1.0000,-0.0000,0.3390,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.503,-0.3375,-1.0000,-0.0000,0.3375,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.523,-0.3316,-1.0000,-0.0000,0.3316,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.543,-0.3316,-1.0000,-0.0000,0.3316,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.563,-0.3287,-1.0000,-0.0000,0.3287,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.583,-0.3228,-1.0000,-0.0000,0.3228,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.603,-0.3228,-1.0000,-0.0000,0.3228,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.623,-0.3228,-1.0000,-0.0000,0.3228,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.643,-0.3169,-1.0000,-0.0000,0.3169,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.663,-0.3110,-1.0000,-0.0000,0.3110,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.683,-0.3110,-1.0000,-0.0000,0.3110,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.703,-0.3110,-1.0000,-0.0000,0.3110,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.723,-0.3095,-1.0000,-0.0000,0.3095,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.743,-0.3095,-1.0000,-0.0000,0.3095,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.763,-0.3095,-1.0000,-0.0000,0.3095,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.784,-0.3095,-1.0000,-0.0000,0.3095,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.803,-0.3095,-1.0000,-0.0000,0.3095,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.824,-0.3095,-1.0000,-0.0000,0.3095,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.843,-0.3095,-1.0000,-0.0000,0.3095,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.863,-0.3095,-1.0000,-0.0000,0.3095,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.883,-0.3095,-1.0000,-0.0000,0.3095,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.903,-0.3095,-1.0000,-0.0000,0.3095,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.923,-0.3080,-1.0000,-0.0000,0.3080,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.943,-0.3021,-1.0000,-0.0000,0.3021,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.963,-0.2947,-1.0000,-0.0000,0.2947,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.984,-0.2903,-1.0000,-0.0000,0.2903,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.003,-0.2903,-1.0000,-0.0000,0.2903,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.023,-0.2903,-1.0000,-0.0000,0.2903,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.043,-0.2814,-1.0000,-0.0000,0.2814,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.063,-0.2814,-1.0000,-0.0000,0.2814,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
