t,x,y,theta,rho,vx,vy,w,wp_idx,ideal_x,ideal_y,reached
1.503,-0.4372,-1.0000,-0.0000,1.4372,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.524,-0.4372,-1.0000,-0.0000,1.4372,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.543,-0.4372,-1.0000,-0.0000,1.4372,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.565,-0.4372,-1.0000,-0.0000,1.4372,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.583,-0.4354,-1.0000,-0.0000,1.4354,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.603,-0.4317,-1.0000,-0.0000,1.4317,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.623,-0.4280,-1.0000,-0.0000,1.4280,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.643,-0.4243,-1.0000,-0.0000,1.4243,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.664,-0.4243,-1.0000,-0.0000,1.4243,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.683,-0.4225,-1.0000,-0.0000,1.4225,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.705,-0.4206,-1.0000,-0.0000,1.4206,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.723,-0.4206,-1.0000,-0.0000,1.4206,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.743,-0.4188,-1.0000,-0.0000,1.4188,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.763,-0.4169,-1.0000,-0.0000,1.4169,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.783,-0.4169,-1.0000,-0.0000,1.4169,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.803,-0.4169,-1.0000,-0.0000,1.4169,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.823,-0.4169,-1.0000,-0.0000,1.4169,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.843,-0.4132,-1.0000,-0.0000,1.4132,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.863,-0.4132,-1.0000,-0.0000,1.4132,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.883,-0.4114,-1.0000,-0.0000,1.4114,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.904,-0.4095,-1.0000,-0.0000,1.4095,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.924,-0.4077,-1.0000,-0.0000,1.4077,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.943,-0.4040,-1.0000,-0.0000,1.4040,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.963,-0.4040,-1.0000,-0.0000,1.4040,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.983,-0.4040,-1.0000,-0.0000,1.4040,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.003,-0.4040,-1.0000,-0.0000,1.4040,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.023,-0.4022,-1.0000,-0.0000,1.4022,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.044,-0.4022,-1.0000,-0.0000,1.4022,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.063,-0.4022,-1.0000,-0.0000,1.4022,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.083,-0.4022,-1.0000,-0.0000,1.4022,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.104,-0.4003,-1.0000,-0.0000,1.4003,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.123,-0.3985,-1.0000,-0.0000,1.3985,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.143,-0.3985,-1.0000,-0.0000,1.3985,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.163,-0.3966,-1.0000,-0.0000,1.3966,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.183,-0.3948,-1.0000,-0.0000,1.3948,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.203,-0.3948,-1.0000,-0.0000,1.3948,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.223,-0.3929,-1.0000,-0.0000,1.3929,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.243,-0.3911,-1.0000,-0.0000,1.3911,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.263,-0.3911,-1.0000,-0.0000,1.3911,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.285,-0.3911,-1.0000,-0.0000,1.3911,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.304,-0.3874,-1.0000,-0.0000,1.3874,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.323,-0.3874,-1.0000,-0.0000,1.3874,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.343,-0.3874,-1.0000,-0.0000,1.3874,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.363,-0.3874,-1.0000,-0.0000,1.3874,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.383,-0.3855,-1.0000,-0.0000,1.3855,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.403,-0.3837,-1.0000,-0.0000,1.3837,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.423,-0.3819,-1.0000,-0.0000,1.3819,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.443,-0.3800,-1.0000,-0.0000,1.3800,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.463,-0.3800,-1.0000,-0.0000,1.3800,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.483,-0.3782,-1.0000,-0.0000,1.3782,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.503,-0.3763,-1.0000,-0.0000,1.3763,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.525,-0.3763,-1.0000,-0.0000,1.3763,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.543,-0.3745,-1.0000,-0.0000,1.3745,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.563,-0.3726,-1.0000,-0.0000,1.3726,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.583,-0.3726,-1.0000,-0.0000,1.3726,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.603,-0.3726,-1.0000,-0.0000,1.3726,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.625,-0.3726,-1.0000,-0.0000,1.3726,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.643,-0.3689,-1.0000,-0.0000,1.3689,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.663,-0.3689,-1.0000,-0.0000,1.3689,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.683,-0.3671,-1.0000,-0.0000,1.3671,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.703,-0.3652,-1.0000,-0.0000,1.3652,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.723,-0.3652,-1.0000,-0.0000,1.3652,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.745,-0.3652,-1.0000,-0.0000,1.3652,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.763,-0.3652,-1.0000,-0.0000,1.3652,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.785,-0.3652,-1.0000,-0.0000,1.3652,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.803,-0.3634,-1.0000,-0.0000,1.3634,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.825,-0.3634,-1.0000,-0.0000,1.3634,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
